date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,cases_per_million,deaths_per_million,tests_per_million
2020-08-18,320.0,254680.5,4.0,254680.5,32687.0,254680.5,4212.252729110341,4212.252729110341,4212.252729110341
2020-08-19,401.0,255081.5,5.0,255081.5,41290.0,255081.5,4218.885012871261,4218.885012871261,4218.885012871261
2020-08-20,642.0,255723.5,7.0,255723.5,49662.0,255723.5,4229.503282633135,4229.503282633135,4229.503282633135
2020-08-21,840.0,256563.5,6.0,256563.5,44943.0,256563.5,4243.3963458729695,4243.3963458729695,4243.3963458729695
2020-08-22,947.0,257510.5,9.0,257510.5,46613.0,257510.5,4259.059120739783,4259.059120739783,4259.059120739783
2020-08-23,1071.0,258581.5,3.0,258581.5,47463.0,258581.5,4276.7727763705725,4276.7727763705725,4276.7727763705725
2020-08-24,1209.0,259790.5,7.0,259790.5,33358.0,259790.5,4296.768863819334,4296.768863819334,4296.768863819334
2020-08-25,953.0,260743.5,4.0,260743.5,45798.0,260743.5,4312.530874852147,4312.530874852147,4312.530874852147
2020-08-26,876.0,261619.5,4.0,261619.5,58054.0,261619.5,4327.019355087974,4327.019355087974,4327.019355087974
2020-08-27,1366.0,262985.5,13.0,262985.5,57640.0,262985.5,4349.612122213704,4349.612122213704,4349.612122213704
2020-08-28,1409.0,264394.5,5.0,264394.5,65135.0,264394.5,4372.916081862428,4372.916081862428,4372.916081862428
2020-08-29,1460.0,265854.5,9.0,265854.5,64294.0,265854.5,4397.0635489221395,4397.0635489221395,4397.0635489221395
2020-08-30,1444.0,267298.5,1.0,267298.5,53541.0,267298.5,4420.946386205856,4420.946386205856,4420.946386205856
2020-08-31,1365.0,268663.5,4.0,268663.5,42583.0,268663.5,4443.5226139705865,4443.5226139705865,4443.5226139705865
2020-09-01,996.0,269659.5,6.0,269659.5,54395.0,269659.5,4459.99581752639,4459.99581752639,4459.99581752639
2020-09-02,975.0,270634.5,8.0,270634.5,,270634.5,4476.121694501198,4476.121694501198,4476.121694501198
2020-09-03,1326.0,271960.5,6.0,271960.5,,271960.5,4498.052887186937,4498.052887186937,4498.052887186937
